id,name,italian_name,description,category,base_price,size_variants,images,available,featured,display_order
item_001,Chicken Tenders,,Chicken Tenders (5-6) Choice of Sauce,Appetizers,9.99,{},[],TRUE,FALSE,1
item_002,Utica Greens,,Pancetta - Hot Cherry Peppers - Salami Greens,Appetizers,10.99,{},[],TRUE,FALSE,2
item_003,Arancini,Arancini,With Marinara Sauce,Appetizers,9.99,{},[],TRUE,FALSE,3
item_004,Garlic Bread,,Add Cheese - .50,Appetizers,2.75,{},[],TRUE,FALSE,4
item_005,Buffalo Style Wings,,Mild - Medium - Hot - Honey BBQ - Garlic Butter. Split orders 1.25. All orders come with Blue Cheese. Extra Blue Cheese .75,Wings,13.99,"{""10pc"": 13.99, ""20pc"": 26.99, ""50pc"": 39.99}",[],TRUE,FALSE,5
item_006,Boneless Wings,,Mild - Medium - Hot - Honey BBQ - Garlic Butter. Split orders 1.25. All orders come with Blue Cheese. Extra Blue Cheese .75,Wings,14,"{""10pc"": 14.00, ""20pc"": 26.00}",[],TRUE,FALSE,6
item_007,Tossed Salad,,Dressings: House Italian Vinaigrette - Ranch - Blue Cheese. Iceberg Lettuce - Olives - Roasted Red Peppers - Cucumbers - Cherry Tomatoes - Croutons,Salads,7.99,{},[],TRUE,FALSE,7
item_008,Antipasto,Antipasto,Iceberg Lettuce - Olives - Cherry Tomatoes - Roasted Red Peppers - Fresh Mozzarella - Banana Peppers - Ham - Salami - Provolone Cheese,Salads,14.99,{},[],TRUE,FALSE,8
item_009,Caprese,Caprese,Fresh Mozzarella Cubed and Layered with Cherry Tomatoes - Fresh Basil Leaves - Topped off with a Drizzle of Balsamic Glaze - Extra Virgin Olive Oil and Pecorino Romano Cheese,Salads,8.99,{},[],TRUE,FALSE,9
item_010,Grilled Chicken,,A 6oz Piece of Chicken on Top of a Bed of Iceberg Lettuce Garnished with Cherry Tomatoes - Cucumbers - Kalamata Olives,Salads,10.99,{},[],TRUE,FALSE,10
